FOODID;FOODNAME;LANG
822;KIRJOLOHI, KOKONAINEN, KESKIARVO;FI
823;TAIMEN;FI
824;KALA KESKIARVO, SILAKKA/MUIKKU/AHVEN/HAUKI;FI
825;NAHKIAINEN, SAVUSTETTU;FI
826;SEITI, PAKASTE;FI
828;TONNIKALA, ÖLJYSSÄ;FI
829;ANJOVIS;FI
830;LOHI, ÖLJYSSÄ;FI
831;SARDIINI, KESKIARVO, ÖLJYSSÄ JA TOMAATTIKASTIKKEESSA;FI
832;MÄTIKAVIAARI, SAMPIKALOJEN TUMMA MÄTI;FI
833;MÄTITAHNA;FI
834;SINISIMPUKKA, VEDESSÄ;FI
835;KATKARAPU;FI
836;RAPU;FI
837;MAUSTE/SUOLASILLI, KESKIARVO;FI
838;MAUSTE/SUOLASILAKKA, KESKIARVO;FI
844;LAHNA, SAVUSTETTU;FI
845;SÄRKI;FI
846;PUNA-AHVEN, PAKASTE;FI
848;KIRJOLOHI, MERI, FILEE;FI
851;KANANMUNAN KELTUAINEN, 34% KANANMUNAN MASSASTA;FI
852;KANANMUNAN VALKUAINEN, 66% KANANMUNAN MASSASTA;FI
855;VIIRIÄISEN MUNA;FI
856;KALA, SAVUSTETTU, KESKIARVO, VÄHÄRASVAINEN;FI
857;KALA, SAVUSTETTU, KESKIARVO, RASVAINEN;FI
858;KANANMUNA, KUORETON;FI
859;SILLI, VALKOSIPULI-/SINAPPIKASTIKKEESSA;FI
860;SILAKKA, TILLI-/SINAPPIKASTIKKEESSA;FI
862;TONNIKALA;FI
863;OSTERI, PUNNITTU KUORINEEN;FI
864;ETANA;FI
865;MUSTEKALA;FI
866;HUMMERI;FI
870;KIRJOLOHIFILEE, TUORESUOLATTU;FI
871;LOHIFILEE;FI
900;KAHVIJUOMA, KESKIARVO;FI
901;TEE;FI
902;OLUT, KESKIOLUT, 4,5 TIL% ALKOHOLIA;FI
903;OLUT, A-OLUT, 5- 5,5 TIL% ALKOHOLIA;FI
